date,usd_toman,gold_18k_toman,source
2013-07-22,3120.0,100000.0,tgju
2013-07-23,3165.0,103000.0,tgju
2013-07-24,3160.0,102000.0,tgju
2013-07-27,3180.0,104000.0,tgju
2013-07-28,3170.0,103000.0,tgju
2013-07-31,3180.0,103000.0,tgju
2013-08-03,3240.0,104000.0,tgju
2013-08-04,3200.0,103000.0,tgju
2013-08-05,3190.0,102000.0,tgju
2013-08-06,3225.0,102000.0,tgju
2013-08-07,3215.0,103000.0,tgju
2013-08-11,3225.0,105000.0,tgju
2013-08-12,3195.0,104000.0,tgju
2013-08-13,3195.0,104000.0,tgju
2013-08-14,3200.0,104000.0,tgju
2013-08-17,3158.0,106000.0,tgju
2013-08-18,3145.0,106000.0,tgju
2013-08-19,3100.0,106000.0,tgju
2013-08-20,3095.0,104000.0,tgju
2013-08-21,3120.0,104000.0,tgju
2013-08-24,3120.0,105000.0,tgju
2013-08-25,3125.0,106000.0,tgju
2013-08-26,3175.0,106000.0,tgju
2013-08-27,3300.0,113000.0,tgju
2013-08-28,3240.0,110000.0,tgju
2013-08-31,3240.0,112000.0,tgju
2013-09-03,3305.0,114000.0,tgju
2013-09-04,3320.0,113000.0,tgju
2013-09-07,3290.0,111000.0,tgju
2013-09-08,3285.0,112000.0,tgju
2013-09-09,3200.0,110000.0,tgju
2013-09-10,3180.0,107000.0,tgju
2013-09-11,3180.0,105000.0,tgju
2013-09-14,3170.0,101000.0,tgju
2013-09-15,3130.0,102000.0,tgju
2013-09-16,3060.0,98300.0,tgju
2013-09-17,3080.0,98000.0,tgju
2013-09-18,3080.0,102000.0,tgju
2013-09-21,2930.0,95000.0,tgju
2013-09-22,2935.0,95000.0,tgju
2013-09-23,2935.0,94000.0,tgju
2013-09-24,3070.0,99000.0,tgju
2013-09-25,3050.0,99000.0,tgju
2013-09-28,3065.0,99000.0,tgju
2013-09-29,3035.0,100000.0,tgju
2013-09-30,3055.0,99000.0,tgju
2013-10-01,3055.0,97000.0,tgju
2013-10-02,3035.0,98000.0,tgju
2013-10-05,3055.0,99000.0,tgju
2013-10-06,3045.0,98000.0,tgju
